Name,Author,Description,Website,Repository,Repo Options,Protocol
mruby-memcached,MATSUMOTO Ryosuke,libmemcached bindings by mruby,https://github.com/matsumotory/mruby-memcached,https://github.com/matsumotory/mruby-memcached.git,"",git
mruby-merb,pbosetti,ERB-like mruby gem,https://github.com/pbosetti/mruby-merb,https://github.com/pbosetti/mruby-merb.git,"",git
mruby-method,ksss,A implementetion of class Method and UnboundMethod for mruby,https://github.com/ksss/mruby-method,https://github.com/ksss/mruby-method.git,"",git
mruby-minigame,bggd,2D Game Framework for rapid prototyping,https://github.com/bggd/mruby-minigame,https://github.com/bggd/mruby-minigame.git,"",git
mruby-mod-mruby-ext,MATSUMOTO Ryosuke,Extended Apache class,https://github.com/matsumotory/mruby-mod-mruby-ext,https://github.com/matsumotory/mruby-mod-mruby-ext.git,"",git
mruby-mrbgem-template,MATSUMOTO Ryosuke,Generate mrbgem template,https://github.com/matsumotory/mruby-mrbgem-template,https://github.com/matsumotory/mruby-mrbgem-template.git,"",git
mruby-mrmagick,Junichi Kajiwara,ImageMagick binding for mruby.,https://github.com/kjunichi/mruby-mrmagick,https://github.com/kjunichi/mruby-mrmagick.git,"",git
mruby-msagent,mattn,Microsoft Agent,https://github.com/mattn/mruby-msagent,https://github.com/mattn/mruby-msagent.git,"",git
mruby-msd,pyama86,msd class,https://github.com/pepabo/mruby-msd,https://github.com/pepabo/mruby-msd.git,"",git
mruby-msgpack,Jun Hiroe,MessagePack for mruby.,https://github.com/suzukaze/mruby-msgpack,https://github.com/suzukaze/mruby-msgpack.git,"",git
mruby-mtest,"Internet Initiative Japan., Inc.",Minimum Test Framework,https://github.com/iij/mruby-mtest,https://github.com/iij/mruby-mtest.git,"",git
mruby-murmurhash1,ksss,Murmurhash1 digest,https://github.com/ksss/mruby-murmurhash1,https://github.com/ksss/mruby-murmurhash1.git,"",git
mruby-murmurhash2,ksss,Murmurhash2 digest,https://github.com/ksss/mruby-murmurhash2,https://github.com/ksss/mruby-murmurhash2.git,"",git
mruby-mutex,MATSUMOTO Ryosuke,Mutex class,https://github.com/matsumotory/mruby-mutex,https://github.com/matsumotory/mruby-mutex.git,"",git
mruby-mysql,mattn,MySQL Database,https://github.com/mattn/mruby-mysql,https://github.com/mattn/mruby-mysql.git,"",git
mruby-named-constants,ppibburr,Allows dynamically defined constants of (Class|Module) to return the constant name when inspected,https://github.com/ppibburr/mruby-named-constants,https://github.com/ppibburr/mruby-named-constants.git,"",git
mruby-nanovg,Corey Powell,nanovg bindings,https://github.com/IceDragon200/mruby-nanovg,https://github.com/IceDragon200/mruby-nanovg,"",git
mruby-netlink,MATSUMOTO Ryosuke,libnetlink binding,https://github.com/matsumotory/mruby-netlink,https://github.com/matsumotory/mruby-netlink.git,"",git
mruby-ngx-mruby-ext,MATSUMOTO Ryosuke,Nginx ext class,https://github.com/matsumotory/mruby-ngx-mruby-ext,https://github.com/matsumotory/mruby-ngx-mruby-ext.git,"",git
mruby-oauth,MATSUMOTO Ryosuke,OAuth class,https://github.com/matsumotory/mruby-oauth,https://github.com/matsumotory/mruby-oauth.git,"",git
mruby-odbc,qtakamitsu,unixODBC bindings,https://github.com/qtkmz/mruby-odbc,https://github.com/qtkmz/mruby-odbc.git,"",git
mruby-onig-regexp,mattn,Onigumo Regular Expression,https://github.com/mattn/mruby-onig-regexp,https://github.com/mattn/mruby-onig-regexp.git,"",git
mruby-open3,Takashi Kokubun,"Popen, but with stderr, too",https://github.com/k0kubun/mruby-open3,https://github.com/k0kubun/mruby-open3.git,"",git
mruby-optparse,fastly,OptionParser ported to mruby,https://github.com/fastly/mruby-optparse,https://github.com/fastly/mruby-optparse.git,"",git
mruby-opvault,Seiei Miyagi,decrypt OPVault,https://github.com/hanachin/mruby-opvault,https://github.com/hanachin/mruby-opvault.git,"",git
mruby-os,katzer,Determine system and binary capabilities,https://github.com/appPlant/mruby-os,https://github.com/appPlant/mruby-os.git,"",git
mruby-ostruct,ksss,OpenStruct binding in mruby,https://github.com/ksss/mruby-ostruct,https://github.com/ksss/mruby-ostruct.git,"",git
mruby-otpauth,qtakamitsu,One time password class,https://github.com/qtkmz/mruby-otpauth,https://github.com/qtkmz/mruby-otpauth.git,"",git
mruby-oui,Corey Powell,Duangle OUI bindings.,https://github.com/IceDragon200/mruby-oui,https://github.com/IceDragon200/mruby-oui,"",git
mruby-pack,"Internet Initiative Japan., Inc.",Array#pack implementation,https://github.com/iij/mruby-pack,https://github.com/iij/mruby-pack.git,"",git
mruby-passwdqc,Hendrik Beskow,A Password quality checker,https://github.com/Asmod4n/mruby-passwdqc,https://github.com/Asmod4n/mruby-passwdqc,"",git
mruby-pcre-regexp,mattn,PCRE - Perl Compatible Regular Expressions,https://github.com/mattn/mruby-pcre-regexp,https://github.com/mattn/mruby-pcre-regexp.git,"",git
mruby-perlin-noise,"[""Junegunn Choi"", ""Matthew Johnston"", ""Tomasz Dabrowski""]",Perlin noise generator for mruby,https://github.com/dabroz/mruby-perlin-noise,https://github.com/dabroz/mruby-perlin-noise.git,"",git
mruby-phr,Hendrik Beskow,mruby bindings for picohttpparser,https://github.com/Asmod4n/mruby-phr,https://github.com/Asmod4n/mruby-phr.git,"",git
mruby-pid,Andrew Nordman,A PID algorithm library based on Temper,https://github.com/cadwallion/mruby-pid,https://github.com/cadwallion/mruby-pid.git,"",git
mruby-ping,Julien Ammous,ping hosts using ICMP or ARP packets.,https://github.com/schmurfy/mruby-ping,https://github.com/schmurfy/mruby-ping,"",git
mruby-pjson,mattn,JSON Parser written in pure mruby,https://github.com/mattn/mruby-pjson,https://github.com/mattn/mruby-pjson.git,"",git
mruby-pkcs5,Seiei Miyagi,Provide PKCS5 functionality with mruby-digest,https://github.com/hanachin/mruby-pkcs5,https://github.com/hanachin/mruby-pkcs5.git,"",git
mruby-plplot,Paolo Bosetti,PLPlot mruby interface,https://github.com/pbosetti/mruby-plplot,https://github.com/pbosetti/mruby-plplot.git,"",git
mruby-polarssl,luisbebop,SSL and cryptography functionality from PolarSSL in your mruby programs,https://github.com/luisbebop/mruby-polarssl,https://github.com/luisbebop/mruby-polarssl.git,"",git
mruby-poll,Asmod4n,Low level system poll for mruby,https://github.com/Asmod4n/mruby-poll,https://github.com/Asmod4n/mruby-poll.git,"",git
mruby-posix_ipc,Uchio Kondo,A mgem for access to POSIX IPC API,https://github.com/udzura/mruby-posix_ipc,https://github.com/udzura/mruby-posix_ipc.git,"",git
mruby-proc-irep-ext,Hendrik Beskow,irep extensions for Proc class,https://github.com/Asmod4n/mruby-proc-irep-ext,https://github.com/Asmod4n/mruby-proc-irep-ext.git,"",git
mruby-process,"Internet Initiative Japan., Inc.","Process interface (waitpid, pid, kill, fork, ppid)",https://github.com/iij/mruby-process,https://github.com/iij/mruby-process.git,"",git
mruby-pure-regexp,h2so5,Pure mruby Regexp,https://github.com/h2so5/mruby-pure-regexp,https://github.com/h2so5/mruby-pure-regexp.git,"",git
mruby-r3,katzer,mruby binding for libr3 (path dispatching library),https://github.com/katzer/mruby-r3,https://github.com/katzer/mruby-r3.git,"",git
mruby-rake,ksss,rake for mruby,https://github.com/ksss/mruby-rake,https://github.com/ksss/mruby-rake.git,"",git
mruby-random,MATSUMOTO Ryosuke,random class with Mersenne Twister,https://github.com/matsumotory/mruby-random,https://github.com/matsumotory/mruby-random.git,"",git
mruby-raspberry,"Paolo Bosetti, University of Trento",Wrapper for WiringPi library for accessing Raspberry Pi hardware.,https://github.com/UniTN-Mechatronics/mruby-raspberry,https://github.com/UniTN-Mechatronics/mruby-raspberry.git,"",git
mruby-rational,Daisuke YAMAGUCHI,Rational class,https://github.com/dyama/mruby-rational,https://github.com/dyama/mruby-rational.git,"",git
mruby-rcon,MATSUMOTO Ryosuke,resource management mrbgem using cgroup,https://github.com/matsumotory/mruby-rcon,https://github.com/matsumotory/mruby-rcon.git,"",git
mruby-redis-ae,Hendrik Beskow,mruby wrapper for the Redis Ae event loop.,https://github.com/Asmod4n/mruby-redis-ae,https://github.com/Asmod4n/mruby-redis-ae.git,"",git
mruby-redis,MATSUMOTO Ryosuke,redis client using hiredis,https://github.com/matsumotory/mruby-redis,https://github.com/matsumotory/mruby-redis.git,"",git
mruby-regexp-pcre,iij,regular expression module utilizing PCRE library,https://github.com/iij/mruby-regexp-pcre,https://github.com/iij/mruby-regexp-pcre.git,"",git
mruby-require,mattn,require implementation,https://github.com/mattn/mruby-require,https://github.com/mattn/mruby-require.git,"",git
mruby-research,ksss,research for mruby,https://github.com/ksss/mruby-research,https://github.com/ksss/mruby-research.git,"",git
mruby-resource,harasou,resource binding,https://github.com/harasou/mruby-resource,https://github.com/harasou/mruby-resource.git,"",git
mruby-romajify,emsk,Japanese romanization library for mruby,https://github.com/emsk/mruby-romajify,https://github.com/emsk/mruby-romajify.git,"",git
mruby-rubyffi-compat,"Julien Ammous, ppibburr",rubyffi compatibility layer on top of mruby-cfunc.,https://github.com/schmurfy/mruby-rubyffi-compat,https://github.com/schmurfy/mruby-rubyffi-compat.git,"",git
mruby-seccomp,Uchio Kondo,libseccomp wrapper for mruby,https://github.com/haconiwa/mruby-seccomp,https://github.com/haconiwa/mruby-seccomp.git,"",git
mruby-secure-compare,Hendrik Beskow,Secure String comparisons for mruby,https://github.com/Asmod4n/mruby-secure-compare,https://github.com/Asmod4n/mruby-secure-compare.git,"",git
mruby-secure-random,monochromegane,SecureRandom class,https://github.com/monochromegane/mruby-secure-random,https://github.com/monochromegane/mruby-secure-random.git,"",git
mruby-serialport,"Monami-ya LLC, Japan",Serialport support,https://github.com/monami-ya-mrb/mruby-serialport/,https://github.com/monami-ya-mrb/mruby-serialport.git,"",git
mruby-set,yui-knk,Set class,https://github.com/yui-knk/mruby-set,https://github.com/yui-knk/mruby-set.git,"",git
mruby-sha1,mattn,SHA1 Hash Alghorithm,https://github.com/mattn/mruby-sha1,https://github.com/mattn/mruby-sha1.git,"",git
mruby-sha2,h2so5,SHA2 Hash Algorithm,https://github.com/h2so5/mruby-sha2,https://github.com/h2so5/mruby-sha2.git,"",git
mruby-shelf,katzer,modular webserver interface inspired by rack,https://github.com/katzer/mruby-shelf,https://github.com/katzer/mruby-shelf.git,"",git
mruby-shellwords,"[""Wakou Aoyama"", ""Akinori MUSHA"", ""Takashi Kokubun""]",Manipulates strings like the UNIX Bourne shell,https://github.com/k0kubun/mruby-shellwords,https://github.com/k0kubun/mruby-shellwords.git,"",git
mruby-sidekiq-client,monochromegane,SidekiqClient class,https://github.com/monochromegane/mruby-sidekiq-client,https://github.com/monochromegane/mruby-sidekiq-client.git,"",git
mruby-signal-thread,pyama86,Multi thread Signal trap and callback in mruby,https://github.com/pyama86/mruby-signal-thread,https://github.com/pyama86/mruby-signal-thread.git,"",git
mruby-signal,ksss,Signal trap and callback in mruby,https://github.com/ksss/mruby-signal,https://github.com/ksss/mruby-signal.git,"",git
mruby-simple-random,"Internet Initiative Japan., Inc.",Kernel#rand and Kernel#srand,https://github.com/iij/mruby-simple-random,https://github.com/iij/mruby-simple-random.git,"",git
mruby-simplehttp-socket,"Kentaro Yoshida, Internet Initiative Japan Inc.",Simple http client using mruby-socket,https://github.com/y-ken/mruby-simplehttp-socket,https://github.com/y-ken/mruby-simplehttp-socket.git,"",git
mruby-simplehttp,MATSUMOTO Ryosuke,Simple http client,https://github.com/matsumotory/mruby-simplehttp,https://github.com/matsumotory/mruby-simplehttp.git,"",git
mruby-simplehttpserver,MATSUMOTO Ryosuke,SimpleHttpServer class,https://github.com/matsumotory/mruby-simplehttpserver,https://github.com/matsumotory/mruby-simplehttpserver.git,"",git
mruby-simplemsgpack,Hendrik Beskow,A simple mruby wrapper for msgpack,https://github.com/Asmod4n/mruby-simplemsgpack,https://github.com/Asmod4n/mruby-simplemsgpack.git,"",git
mruby-simpletest,MATSUMOTO Ryosuke,SimpleTest class,https://github.com/matsumotory/mruby-simpletest,https://github.com/matsumotory/mruby-simpletest.git,"",git
mruby-sinatic,mattn,Sinatra like Web Framework,https://github.com/mattn/mruby-sinatic,https://github.com/mattn/mruby-sinatic.git,"",git
mruby-singleton,ksss,Singleton module in mruby,https://github.com/ksss/mruby-singleton,https://github.com/ksss/mruby-singleton.git,"",git
mruby-siphash,ksss,Message digest by SipHash,https://github.com/ksss/mruby-siphash,https://github.com/ksss/mruby-siphash.git,"",git
mruby-sleep,MATSUMOTO Ryosuke,Sleep Module,https://github.com/matsumotory/mruby-sleep,https://github.com/matsumotory/mruby-sleep.git,"",git
